id,w,h,search,n_bounds,cx,cy,apothems,fit_rms,strengths,cx_each,cy_each
7-57,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-58,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-59,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-6-C2,1468,2048,open,2,146.302,155.562,67.726;78.556,0.205;0.119,2949;2956,146.180;146.423,155.537;155.588
7-6,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-60,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-61,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-62,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-63,1468,2048,open,2,146.156,155.570,67.341;79.160,0.292;0.207,2893;2960,145.852;146.453,155.581;155.558
7-64,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-65,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
7-66,1468,2048,open,3,146.762,156.791,57.114;67.097;71.611,0.377;0.191;0.315,2953;2943;2186,146.539;146.731;147.105,156.796;156.851;156.705
