id,file,setCode,number,promoGrouping,rarity,bordered_empirical,black_level,left_px,right_px,top_px,band_top_px,emb_score_std,emb_x_std,emb_y_std,emb_score_enc,emb_x_enc,emb_y_enc,top_px_v2
1-40,images/1-40.jpg,1,40,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-41,images/1-41.jpg,1,41,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-42,images/1-42.jpg,1,42,,Legendary,True,1.0,60,60,65,1907,0.9958,650,1900,0.3374,567,1886,65
1-43,images/1-43.jpg,1,43,,Rare,True,1.0,60,60,65,1907,0.6222,648,1900,0.353,576,1886,65
1-44,images/1-44.jpg,1,44,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-45,images/1-45.jpg,1,45,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-46,images/1-46.jpg,1,46,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,66
1-47,images/1-47.jpg,1,47,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-48,images/1-48.jpg,1,48,,Rare,True,1.0,60,60,65,1907,0.6222,648,1900,0.353,576,1886,65
1-49,images/1-49.jpg,1,49,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-5,images/1-5.jpg,1,5,,Rare,True,1.0,60,60,65,1907,0.6223,648,1900,0.3531,576,1886,65
1-5-P1,images/1-5-P1.jpg,1,5,P1,Special,True,1.0,60,60,67,1907,0.4436,780,1899,0.3144,560,1885,66
1-50,images/1-50.jpg,1,50,,Super Rare,True,1.0,60,60,65,1907,0.6559,641,1900,0.3367,571,1886,65
1-51,images/1-51.jpg,1,51,,Super Rare,True,1.0,60,60,66,1907,0.6548,641,1900,0.3363,735,1886,66
1-52,images/1-52.jpg,1,52,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-53,images/1-53.jpg,1,53,,Uncommon,True,1.0,60,60,67,1907,0.6472,645,1899,0.3569,737,1886,66
1-54,images/1-54.jpg,1,54,,Uncommon,True,1.0,60,60,65,1907,0.6479,645,1900,0.3574,737,1886,65
1-55,images/1-55.jpg,1,55,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-56,images/1-56.jpg,1,56,,Super Rare,True,1.0,60,60,67,1907,0.6548,641,1900,0.3363,735,1886,66
1-57,images/1-57.jpg,1,57,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-58,images/1-58.jpg,1,58,,Common,True,1.0,60,60,65,1907,0.7424,647,1900,0.3613,733,1886,65
1-59,images/1-59.jpg,1,59,,Legendary,True,1.0,60,125,66,1907,0.9953,650,1900,0.3377,567,1886,66
1-6,images/1-6.jpg,1,6,,Rare,True,1.0,60,60,66,1907,0.6222,648,1900,0.353,576,1886,65
1-6-P1,images/1-6-P1.jpg,1,6,P1,Special,True,1.0,60,60,67,1907,0.4436,780,1899,0.3144,560,1885,67
1-60,images/1-60.jpg,1,60,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,67
1-61,images/1-61.jpg,1,61,,Rare,True,1.0,60,60,65,1907,0.6216,647,1900,0.3533,576,1886,65
1-62,images/1-62.jpg,1,62,,Uncommon,True,1.0,60,60,66,1907,0.6457,645,1899,0.356,737,1886,66
1-63,images/1-63.jpg,1,63,,Common,True,1.0,60,60,65,1907,0.7423,647,1900,0.3613,733,1886,65
1-64,images/1-64.jpg,1,64,,Common,True,1.0,60,60,67,1907,0.7407,647,1900,0.3612,733,1886,67
1-65,images/1-65.jpg,1,65,,Uncommon,True,1.0,60,60,66,1907,0.6457,645,1899,0.356,737,1886,66
1-66,images/1-66.jpg,1,66,,Rare,True,1.0,61,61,67,1907,0.6197,647,1900,0.3519,576,1886,67
1-67,images/1-67.jpg,1,67,,Uncommon,True,1.0,61,61,67,1907,0.6469,645,1899,0.3556,737,1885,67
1-68,images/1-68.jpg,1,68,,Rare,True,1.0,61,61,67,1906,0.6186,647,1900,0.3516,575,1886,67
1-69,images/1-69.jpg,1,69,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-7,images/1-7.jpg,1,7,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-7-P1,images/1-7-P1.jpg,1,7,P1,Special,True,1.0,60,60,67,1907,0.4426,780,1899,0.3146,560,1885,67
1-70,images/1-70.jpg,1,70,,Legendary,True,1.0,60,60,66,1907,0.9953,650,1900,0.3377,567,1886,66
1-71,images/1-71.jpg,1,71,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-72,images/1-72.jpg,1,72,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-73,images/1-73.jpg,1,73,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-74,images/1-74.jpg,1,74,,Uncommon,True,1.0,60,60,154,1907,0.6472,645,1899,0.3569,737,1886,89
1-75,images/1-75.jpg,1,75,,Super Rare,True,1.0,60,60,65,1907,0.6559,641,1900,0.3367,571,1886,65
1-76,images/1-76.jpg,1,76,,Rare,True,1.0,60,60,78,1907,0.6225,648,1900,0.3533,576,1886,70
1-77,images/1-77.jpg,1,77,,Common,True,1.0,60,60,67,1907,0.7408,647,1900,0.3611,733,1886,66
1-78,images/1-78.jpg,1,78,,Rare,True,1.0,60,60,66,1907,0.6211,647,1900,0.3522,575,1886,66
1-79,images/1-79.jpg,1,79,,Common,True,1.0,60,60,66,1907,0.7408,647,1900,0.3611,733,1886,66
1-8,images/1-8.jpg,1,8,,Uncommon,True,1.0,60,60,66,1907,0.6472,645,1899,0.3569,737,1886,66
1-8-C1,images/1-8-C1.jpg,1,8,C1,Special,False,37.0,-1,-1,-1,-1,0.2558,780,1892,0.4809,634,1900,-1
